ID,Genus,Family,Order,Class,Phylum
Cosmocercidae I,Cosmocercidae gen.,Cosmocercidae,Rhabditida,Chromadorea,Nematoda
Cosmocercidae II,Cosmocercidae gen.,Cosmocercidae,Rhabditida,Chromadorea,Nematoda
Oxyascaris similis,Oxyascaris,Cosmocercidae,Rhabditida,Chromadorea,Nematoda
Raillietinema sp.,Raillietinema ,Cosmocercidae,Rhabditida,Chromadorea,Nematoda
Oswaldocruzia subauricularis,Oswaldocruzia,Molineidae,Rhabditida,Chromadorea,Nematoda
Ochoterenella sp,Ochoterenella,Onchocercidae,Rhabditida,Chromadorea,Nematoda
Rhabdias sp1,Rhabdias ,Rhabdiasidae,Rhabditida,Chromadorea,Nematoda
Rhabdias sp2,Rhabdias ,Rhabdiasidae,Rhabditida,Chromadorea,Nematoda
Physaloptera sp.,Physaloptera,Physalopteridae,Spirurida,Secernentea,Nematoda
Acanthocephala,Acantocephala,Acantocephala,Acantocephala,Acantocephala,Platyhelminthes
Cestoda,Cestoda,Cestoda,Cestoda,Cestoda,Platyhelminthes
